t`s`float	(deriv((v(txop_bump)-v(txon_bump)))/0.83873)`V/s
9.41825e-010	-6.65636e+006
9.44825e-010	-6.57369e+006
9.47825e-010	-6.51423e+006
9.50825e-010	-6.40763e+006
9.53825e-010	-6.36049e+006
9.56825e-010	-6.25366e+006
9.59825e-010	-6.19467e+006
9.62825e-010	-6.11153e+006
9.65825e-010	-6.02862e+006
9.68825e-010	-5.95778e+006
9.71825e-010	-5.89834e+006
9.74825e-010	-5.8038e+006
9.77825e-010	-5.76805e+006
9.80825e-010	-5.66146e+006
9.83825e-010	-5.60244e+006
9.86825e-010	-5.54302e+006
9.89825e-010	-5.46031e+006
9.92825e-010	-5.40089e+006
9.95988e-010	-5.34167e+006
9.98662e-010	-5.2735e+006
1e-009	-5.2735e+006
1e-009	0
1e-009	-1.03242e+007
1e-009	0
1.00001e-009	-1.03242e+007
1.00002e-009	-5.1208e+006
1.00004e-009	-5.1621e+006
1.00008e-009	-5.79567e+006
1.00016e-009	-5.14653e+006
1.00037e-009	-4.99072e+006
1.00052e-009	-5.4554e+006
1.00062e-009	-5.32825e+006
1.00081e-009	-5.1535e+006
1.00094e-009	-5.39569e+006
1.00094e-009	0
1.001e-009	-5.39569e+006
1.001e-009	0
1.001e-009	0
1.001e-009	-1.18537e+007
1.001e-009	0
1.00101e-009	-1.18537e+007
1.00102e-009	-5.92685e+006
1.00103e-009	-2.94977e+006
1.00107e-009	-5.92685e+006
1.00114e-009	-4.80444e+006
1.00129e-009	-5.3619e+006
1.00148e-009	-5.17701e+006
1.00215e-009	-5.17701e+006
1.0033e-009	-5.20012e+006
1.00557e-009	-5.09294e+006
1.00857e-009	-5.02206e+006
1.01157e-009	-4.98634e+006
1.01457e-009	-4.91528e+006
1.01757e-009	-4.87993e+006
1.02057e-009	-4.83237e+006
1.02357e-009	-4.77333e+006
1.02682e-009	-4.71393e+006
1.03052e-009	-4.6592e+006
1.03062e-009	-5.32825e+006
1.03077e-009	-4.44267e+006
1.03097e-009	-4.61909e+006
1.03287e-009	-4.61909e+006
1.03447e-009	-4.575e+006
1.03608e-009	-4.50806e+006
1.03767e-009	-4.53058e+006
1.03927e-009	-4.48585e+006
1.04087e-009	-4.44174e+006
1.04255e-009	-4.41923e+006
1.04399e-009	-4.41703e+006
1.04551e-009	-4.36768e+006
1.0468e-009	-4.3865e+006
1.0481e-009	-4.2772e+006
1.04939e-009	-4.33204e+006
1.05069e-009	-4.27684e+006
1.05199e-009	-4.2772e+006
1.05328e-009	-4.22237e+006
1.05458e-009	-4.222e+006
1.05587e-009	-4.19495e+006
1.05717e-009	-4.16753e+006
1.05847e-009	-4.16717e+006
1.05976e-009	-4.16753e+006
1.06106e-009	-4.08528e+006
1.06235e-009	-4.11234e+006
1.06365e-009	-4.05786e+006
1.06495e-009	-4.03044e+006
1.06624e-009	-4.05751e+006
1.06754e-009	-4.03044e+006
1.06948e-009	-3.96173e+006
1.07207e-009	-3.9619e+006
1.07467e-009	-3.90689e+006
1.07726e-009	-3.83835e+006
1.07985e-009	-3.8111e+006
1.08244e-009	-3.79723e+006
1.08503e-009	-3.7561e+006
1.08783e-009	-3.70732e+006
1.09083e-009	-3.67166e+006
1.09383e-009	-3.61244e+006
1.09683e-009	-3.58888e+006
1.09983e-009	-3.54137e+006
1.10283e-009	-3.48228e+006
1.10583e-009	-3.47031e+006
1.10883e-009	-3.41121e+006
1.11183e-009	-3.36371e+006
1.11483e-009	-3.36371e+006
1.11783e-009	-3.29277e+006
1.12083e-009	-3.25711e+006
1.12383e-009	-3.24539e+006
1.12683e-009	-3.18605e+006
1.12983e-009	-3.16236e+006
1.13283e-009	-3.1151e+006
1.13583e-009	-3.0913e+006
1.13883e-009	-3.05588e+006
1.14183e-009	-3.02023e+006
1.14483e-009	-2.9847e+006
1.14783e-009	-2.93743e+006
1.15157e-009	-2.91364e+006
1.15309e-009	-2.90784e+006
1.15385e-009	-2.90784e+006
1.15385e-009	0
1.15385e-009	0
1.15385e-009	-5.1621e+006
1.15386e-009	0
1.15386e-009	-5.1621e+006
1.15388e-009	-2.58105e+006
1.15393e-009	-2.57585e+006
1.15401e-009	-2.90368e+006
1.15422e-009	-2.90222e+006
1.15437e-009	-2.86223e+006
1.15447e-009	-2.84173e+006
1.15466e-009	-2.84331e+006
1.15478e-009	-3.09907e+006
1.15478e-009	0
1.15485e-009	-3.09907e+006
1.15485e-009	0
1.15485e-009	0
1.15485e-009	-1.16382e+007
1.15485e-009	0
1.15485e-009	-1.16382e+007
1.15485e-009	0
1.15486e-009	-1.16382e+007
1.15486e-009	0
1.15486e-009	-2.93624e+006
1.15487e-009	0
1.15488e-009	-2.93624e+006
1.15492e-009	-2.93624e+006
1.15499e-009	-2.93287e+006
1.15514e-009	-2.75272e+006
1.15543e-009	-2.84285e+006
1.15601e-009	-2.93455e+006
1.15717e-009	-2.84326e+006
1.15944e-009	-2.80704e+006
1.16244e-009	-2.75966e+006
1.16544e-009	-2.75977e+006
1.16844e-009	-2.71229e+006
1.17144e-009	-2.71239e+006
1.17444e-009	-2.66491e+006
1.17744e-009	-2.64122e+006
1.18071e-009	-2.62948e+006
1.18437e-009	-2.5689e+006
1.18447e-009	-3.19695e+006
1.18462e-009	-2.48789e+006
1.18492e-009	-2.57603e+006
1.18552e-009	-2.53162e+006
1.18672e-009	-2.57603e+006
1.18832e-009	-2.554e+006
1.18992e-009	-2.50941e+006
1.19152e-009	-2.50959e+006
1.19312e-009	-2.53162e+006
1.19472e-009	-2.46517e+006
1.1964e-009	-2.465e+006
1.19784e-009	-2.41826e+006
1.19935e-009	-2.49229e+006
1.20065e-009	-2.41257e+006
1.20194e-009	-2.4402e+006
1.20324e-009	-2.35795e+006
1.20454e-009	-2.41257e+006
1.20583e-009	-2.38536e+006
1.20713e-009	-2.35795e+006
1.20842e-009	-2.35774e+006
1.20972e-009	-2.35795e+006
1.21102e-009	-2.38536e+006
1.21231e-009	-2.30291e+006
1.21361e-009	-2.35795e+006
1.2149e-009	-2.30311e+006
1.2162e-009	-2.24808e+006
1.2175e-009	-2.30311e+006
1.21879e-009	-2.30311e+006
1.22009e-009	-2.24808e+006
1.22138e-009	-2.24827e+006
1.22333e-009	-2.24818e+006
1.22592e-009	-2.22086e+006
1.22851e-009	-2.19334e+006
1.2311e-009	-2.17963e+006
1.2337e-009	-2.16602e+006
1.23629e-009	-2.1248e+006
1.23888e-009	-2.13851e+006
1.24168e-009	-2.09647e+006
1.24468e-009	-2.08455e+006
1.24768e-009	-2.06094e+006
1.25068e-009	-2.02533e+006
1.25368e-009	-2.00164e+006
1.25668e-009	-1.98987e+006
1.25968e-009	-1.97796e+006
1.26268e-009	-1.95434e+006
1.26568e-009	-1.93058e+006
1.26868e-009	-1.89505e+006
1.27168e-009	-1.88327e+006
1.27468e-009	-1.8832e+006
1.27768e-009	-1.84774e+006
1.28068e-009	-1.83583e+006
1.28368e-009	-1.8003e+006
1.28668e-009	-1.80036e+006
1.28968e-009	-1.77661e+006
1.29268e-009	-1.75298e+006
1.29568e-009	-1.75292e+006
1.29868e-009	-1.70554e+006
1.30168e-009	-1.71745e+006
1.30542e-009	-1.68186e+006
1.30693e-009	-1.66388e+006
1.30769e-009	-1.66388e+006
1.30769e-009	0
1.3077e-009	0
1.3077e-009	-5.1621e+006
1.3077e-009	0
1.30771e-009	-5.1621e+006
1.30771e-009	0
1.30772e-009	-5.1621e+006
1.30773e-009	0
1.30773e-009	-2.58626e+006
1.30774e-009	0
1.30777e-009	-2.58626e+006
1.30785e-009	-1.29183e+006
1.30806e-009	-1.6156e+006
1.30822e-009	-2.08502e+006
1.30832e-009	-1.42087e+006
1.3085e-009	-1.42165e+006
1.30863e-009	-1.67712e+006
1.30863e-009	0
1.30869e-009	-1.67712e+006
1.30869e-009	0
